numb,RegionName2,Date,Incident_Rate,Mortality_Rate,mean_sickness,mean_death
83,DE,2020-07-04T07:00:00Z,1224.42398774241,4.294221253040342,1214.7849534635843,3.6577354238234148
84,DE,2020-07-05T07:00:00Z,1231.9206707169294,4.268089363121041,1214.7849534635843,3.6577354238234148
85,DE,2020-07-06T07:00:00Z,1245.4763166434577,4.221635883905013,1214.7849534635843,3.6577354238234148
86,DE,2020-07-07T07:00:00Z,1262.4208740516183,4.164971935247702,1214.7849534635843,3.6577354238234148
87,DE,2020-07-08T07:00:00Z,1274.8468828176026,4.140486547446431,1214.7849534635843,3.6577354238234148
88,DE,2020-07-09T07:00:00Z,1279.7762086090675,4.132562991494142,1214.7849534635843,3.6577354238234148
89,DE,2020-07-10T07:00:00Z,1286.8621144342983,4.1257680951240925,1214.7849534635843,3.6577354238234148
90,DE,2020-07-11T07:00:00Z,1299.2881232002826,4.086310464748657,1214.7849534635843,3.6577354238234148
91,DE,2020-07-12T07:00:00Z,1308.6333033466015,4.057129404378875,1214.7849534635843,3.6577354238234148
92,DE,2020-07-13T07:00:00Z,1314.8976548732546,4.037800687285223,1214.7849534635843,3.6577354238234148
93,DE,2020-07-14T07:00:00Z,1322.5997264224186,4.014286823511142,1214.7849534635843,3.6577354238234148
94,DE,2020-07-15T07:00:00Z,1331.8422122814152,3.9941398720024672,1214.7849534635843,3.6577354238234148
95,DE,2020-07-16T07:00:00Z,1340.160449554512,3.992337164750958,1214.7849534635843,3.6577354238234148
96,DE,2020-07-17T07:00:00Z,1346.732883943132,3.972853439072747,1214.7849534635843,3.6577354238234148
97,DE,2020-07-18T07:00:00Z,1369.6337100159792,3.906425732923446,1214.7849534635843,3.6577354238234148
98,DE,2020-07-19T07:00:00Z,1379.0815844496203,3.8945565567056373,1214.7849534635843,3.6577354238234148
99,DE,2020-07-20T07:00:00Z,1388.324070308617,3.868629336489385,1214.7849534635843,3.6577354238234148
