app,open,duration,sec
Messenger Lite,1/26/2018 15:21,2s,2
Messages,1/26/2018 15:21,6s,6
Messages,1/26/2018 15:21,12s,12
Messages,1/26/2018 15:31,30s,30
Messenger Lite,1/26/2018 15:31,14s,14
Messenger Lite,1/26/2018 15:32,1s,1
Messenger Lite,1/26/2018 15:32,13s,13
Messenger Lite,1/26/2018 15:32,2s,2
Gmail,1/26/2018 15:32,7s,7
Messages,1/26/2018 15:32,20s,20
Gmail,1/26/2018 15:33,12s,12
Messenger Lite,1/26/2018 15:33,1s,1
Messenger Lite,1/26/2018 15:33,18s,18
Messages,1/26/2018 15:33,5s,5
Messenger Lite,1/26/2018 15:33,4s,4
Snapchat,1/26/2018 15:34,50s,50
Snapchat,1/26/2018 15:37,1m 4s,64
Snapchat,1/26/2018 15:38,2s,2
Clock,1/26/2018 15:56,25s,25
Snapchat,1/26/2018 16:11,22s,22
Messages,1/26/2018 16:12,15s,15
System UI,1/26/2018 16:12,2s,2
Snapchat,1/26/2018 16:12,1s,1
System UI,1/26/2018 16:12,1s,1
Snapchat,1/26/2018 16:12,1s,1
Gmail,1/26/2018 16:20,17s,17
Instagram,1/26/2018 16:20,1m ,60
Instagram,1/26/2018 16:26,2m 3s,123
Snapchat,1/26/2018 16:28,26s,26
Tumblr,1/26/2018 16:29,4s,4
Messages,1/26/2018 16:29,3s,3
Tumblr,1/26/2018 16:29,2s,2
Tumblr,1/26/2018 16:29,16s,16
Tumblr,1/26/2018 16:29,35s,35
Tumblr,1/26/2018 16:30,13s,13
Tumblr,1/26/2018 16:30,21s,21
Tumblr,1/26/2018 16:30,7s,7
Tumblr,1/26/2018 16:30,10s,10
Tumblr,1/26/2018 16:31,6s,6
Tumblr,1/26/2018 16:31,1m 10s,70
Tumblr,1/26/2018 16:32,15s,15
Tumblr,1/26/2018 16:32,17s,17
Tumblr,1/26/2018 16:32,1m 20s,80
Tumblr,1/26/2018 16:34,23s,23
Tumblr,1/26/2018 16:34,6s,6
Tumblr,1/26/2018 16:34,1m 57s,117
Tumblr,1/26/2018 16:36,31s,31
Tumblr,1/26/2018 16:37,14s,14
Tumblr,1/26/2018 16:37,5s,5
Tumblr,1/26/2018 16:37,2s,2
Tumblr,1/26/2018 16:37,36s,36
Tumblr,1/26/2018 16:38,5s,5
Tumblr,1/26/2018 16:38,7s,7
Tumblr,1/26/2018 16:38,25s,25
Tumblr,1/26/2018 16:38,12s,12
Tumblr,1/26/2018 16:39,27s,27
Tumblr,1/26/2018 16:39,3s,3
Clock,1/26/2018 16:39,1s,1
Clock,1/26/2018 16:39,1m ,60
Messages,1/26/2018 16:43,1m ,60
Messages,1/26/2018 16:45,1s,1
Maps,1/26/2018 16:45,1m 29s,89
Maps,1/26/2018 16:46,1m ,60
Gmail,1/26/2018 16:48,11s,11
Clock,1/26/2018 16:50,2s,2
Gmail,1/26/2018 16:58,9s,9
Gmail,1/26/2018 16:58,1m 3s,63
Messages,1/26/2018 17:03,1m 10s,70
Messages,1/26/2018 17:04,42s,42
Instagram,1/26/2018 17:16,1m ,60
Messages,1/26/2018 17:17,2s,2
Messages,1/26/2018 17:20,19s,19
Messages,1/26/2018 17:21,6s,6
News & Weather,1/26/2018 17:21,7s,7
Firefox,1/26/2018 17:21,6s,6
Messages,1/26/2018 17:21,3s,3
Instagram,1/26/2018 17:21,22s,22
Messages,1/26/2018 17:22,2m 24s,144
Messages,1/26/2018 17:24,1m 43s,103
Instagram,1/26/2018 17:26,19s,19
Gmail,1/26/2018 17:35,6s,6
Firefox,1/26/2018 17:35,15s,15
Messages,1/26/2018 17:35,15s,15
Firefox,1/26/2018 17:35,33s,33
Messages,1/26/2018 17:36,12s,12
Firefox,1/26/2018 17:39,10s,10
Firefox,1/26/2018 17:39,1s,1
Messages,1/26/2018 17:39,7s,7
Firefox,1/26/2018 17:39,2s,2
Messages,1/26/2018 17:42,1m 44s,104
Messages,1/26/2018 17:44,21s,21
Messages,1/26/2018 17:44,9s,9
Messages,1/26/2018 17:44,2s,2
Gmail,1/26/2018 17:45,19s,19
Messages,1/26/2018 17:45,44s,44
Gmail,1/26/2018 17:46,2s,2
Messages,1/26/2018 17:57,2s,2
Messages,1/26/2018 17:57,54s,54
Snapchat,1/26/2018 17:58,10s,10
Messages,1/26/2018 18:01,19s,19
Messages,1/26/2018 18:06,16s,16
Messages,1/26/2018 18:07,3s,3
Gmail,1/26/2018 18:21,28s,28
Instagram,1/26/2018 18:24,4s,4
Snapchat,1/26/2018 18:44,25s,25
Messages,1/26/2018 19:02,18s,18
Messages,1/26/2018 19:03,1s,1
Instagram,1/26/2018 19:03,39s,39
Instagram,1/26/2018 19:03,16s,16
Instagram,1/26/2018 19:04,6s,6
Instagram,1/26/2018 19:05,10s,10
Instagram,1/26/2018 19:05,2s,2
Instagram,1/26/2018 19:10,3s,3
Gmail,1/26/2018 19:17,4s,4
Messages,1/26/2018 19:17,6s,6
